,0,1
0,nodes,455.0
1,time,315.7817107571276
2,data,313.0
3,packet,292.0
4,networks,288.0
5,node,261.47574550155485
6,routing,258.0
7,energy,226.0
8,sensor,221.62484155687775
9,value,208.0
10,mobility,196.0
11,uav,189.0
12,number,189.0
13,yol,176.0
14,network,170.0
15,wireless,155.0
16,ve,148.0
17,covered,143.0
18,hoc,140.0
19,ad,139.0
20,protocols,139.0
21,area,136.0
22,swr,129.0
23,atama,128.0
24,path,118.0
25,pattern,118.0
26,algorithm,116.0
27,bir,114.0
28,htl,113.0
29,protocol,111.0
30,carry,111.0
31,packets,110.0
32,delay,107.0
33,delivery,96.0
34,figure,92.0
35,consumption,91.0
36,approach,87.54074576232695
37,paths,87.0
38,performance,86.0
39,lifetime,86.0
40,gpsr,85.0
41,results,84.0
42,use,83.0
43,threshold,83.0
44,connectivity,80.0
45,hop,80.0
46,communication,79.0
47,realtime,79.0
48,values,79.0
49,wsn,77.0
